doc_id,sentence_id,token_id,token,lemma,pos
text131,3,5,love,love,VERB
text131,3,12,helps,help,VERB
text131,3,15,improve,improve,VERB
text131,3,17,plants,plant,NOUN
text131,4,1,Amazing,amazing,ADJ
text131,4,4,recommended,recommend,VERB
text131,5,1,Thanks,thank,NOUN
text132,1,1,Great,great,ADJ
text132,1,4,Indian,indian,ADJ
text132,1,7,smart,smart,ADJ
text132,1,10,increasing,increase,VERB
text132,1,12,crop,crop,NOUN
text132,1,13,yield,yield,NOUN
text132,2,3,download,download,VERB
text132,2,6,Indian,indian,ADJ
text132,3,2,download,download,VERB
text133,2,4,helpful,helpful,ADJ
text134,1,6,experience,experience,NOUN
text134,1,8,smart,smart,ADJ
text134,1,11,provide,provide,VERB
text134,1,19,special,special,ADJ
text134,1,20,articles,article,NOUN
text134,1,24,technologies,technology,NOUN
text135,1,4,informative,informative,ADJ
text135,1,6,helpful,helpful,ADJ
text135,2,2,agri,agri,NOUN
